"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Start Transaction","","0","0","16","0","0"
"","Associate Transaction","","1","0","3","0","0"
"","Component Remove Transaction.","","0","0","5","0","0"
"","Data Collection Transaction.","","0","0","5","0","0"
"","Rework Operation","","0","0","5","0","0"
"","Release Route Card Transaction.","","0","0","4","0","0"
"","Combine Qty Transaction","","0","0","5","0","0"
"","Close Route Card Transaction","","0","0","4","0","0"
"","Combine RouteCard Transaction","","0","0","4","0","0"
"","Split Qty Transaction","","1","0","4","0","0"
"","Route Mainteance Transaction.","","0","0","6","0","0"
"","Open Route Card Transaction.","","0","0","5","0","0"
"","Component Issue Transaction.","","1","0","8","0","0"
"","Move Route Card Transaction.","","0","0","2","0","0"
"","Move Non Standard Route Card Transaction.","","0","0","3","0","0"
"","Component Replace Transaction.","","0","0","3","0","0"
"","Disassociate Transaction","","0","0","5","0","0"
"","Change Qty Transaction","","0","0","6","0","0"
"","Multi Release Route Card Transaction.","","0","0","2","0","0"
"","Grid Load Transaction.","","0","0","1","0","0"
"","Hold  Route Card Transaction.","","0","0","2","0","0"
"","Multi Hold  Route Card Transaction.","","0","0","2","0","0"
"","Split RouteCard Transaction","","0","0","2","0","0"
